,feature,r2
91,"Steroid, Lipid, androstenediol (3beta,17beta) monosulfate (1)",0.016939585965751958
33,"Creatine Metabolism, Amino Acid, creatine",0.01661954648008157
122,"Phospholipid Metabolism, Lipid, 1-palmitoyl-2-eicosapentaenoyl-GPC (16:0/20:5)*",0.016064500789256475
108,"Chemical, Xenobiotics, 4-hydroxychlorothalonil",0.015951400220242662
105,"Sphingolipid Metabolism, Lipid, sphingomyelin (d18:2/14:0, d18:1/14:1)*",0.015886487049468045
139,"Ceramides, Lipid, glycosyl-N-behenoyl-sphingadienine (d18:2/22:0)*",0.015847912332654035
132,"Phospholipid Metabolism, Lipid, 1-margaroyl-2-arachidonoyl-GPC (17:0/20:4)*",0.015478359121951835
147,"Fatty Acid, Amino, Lipid, N-acetyl-2-aminooctanoate*",0.015290996268505386
124,"Plasmalogen, Lipid, 1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPE (P-18:0/22:6)*",0.015168823464006276
64,"Polyunsaturated Fatty Acid (n3 and n6), Lipid, stearidonate (18:4n3)",0.015156459227394392
157,"Food Component/Plant, Xenobiotics, (S)-a-amino-omega-caprolactam",0.015014648963392774
60,"Vitamin B6 Metabolism, Cofactors and Vitamins, pyridoxate",0.014847207021964848
9,"Creatine Metabolism, Amino Acid, guanidinoacetate",0.014726473846856325
127,"Plasmalogen, Lipid, 1-(1-enyl-stearoyl)-2-docosahexaenoyl-GPC (P-18:0/22:6)*",0.014641590146308614
27,"Pantothenate and CoA Metabolism, Cofactors and Vitamins, pantothenate",0.014440746894641032
45,"Xanthine Metabolism, Xenobiotics, theobromine",0.01433010407892421
76,"Lysolipid, Lipid, 1-palmitoyl-GPE (16:0)",0.014312426072480955
101,"Food Component/Plant, Xenobiotics, 2-piperidinone",0.014223896108794265
54,"Chemical, Xenobiotics, iminodiacetate (IDA)",0.013975426878458763
151,"Fatty Acid, Dicarboxylate, Lipid, dodecadienoate (12:2)*",0.013692415942081704
25,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism, Carbohydrate, pyruvate",0.01342817384944639
88,"Steroid, Lipid, 5alpha-androstan-3beta,17beta-diol disulfate",0.013270798742770817
70,"Purine Metabolism, Guanine containing, Nucleotide, N2,N2-dimethylguanosine",0.013154835369257545
65,"Tryptophan Metabolism, Amino Acid, N-acetyltryptophan",0.013022816470645737
156,"Ceramide PEs, Lipid, palmitoyl-sphingosine-phosphoethanolamine (d18:1/16:0)",0.012984888399220407
24,"Pyrimidine Metabolism, Uracil containing, Nucleotide, pseudouridine",0.012878287948041134
109,"Chemical, Xenobiotics, 3-hydroxypyridine sulfate",0.01283047320999764
47,"Phospholipid Metabolism, Lipid, 1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)",0.012746193450012822
74,"Leucine, Isoleucine and Valine Metabolism, Amino Acid, 2-hydroxy-3-methylvalerate",0.012602237081086876
85,"Lysolipid, Lipid, 1-linoleoyl-GPI (18:2)*",0.012419125325343838
58,"Histidine Metabolism, Amino Acid, 1-methylhistidine",0.012322595070004327
128,"Sphingolipid Metabolism, Lipid, N-palmitoyl-sphinganine (d18:0/16:0)",0.012299023623296379
6,"Creatine Metabolism, Amino Acid, creatinine",0.012253168553253202
41,"Leucine, Isoleucine and Valine Metabolism, Amino Acid, ethylmalonate",0.01189921188020826
104,"Lysolipid, Lipid, 1-docosapentaenoyl-GPC (22:5n6)*",0.011783869740011665
98,"Fatty Acid Metabolism(Acyl Carnitine), Lipid, margaroylcarnitine (C17)*",0.011759099934186001
80,"Lysolipid, Lipid, 2-oleoyl-GPE (18:1)*",0.011672378424289698
116,"Tryptophan Metabolism, Amino Acid, C-glycosyltryptophan",0.011627887145990834
154,"Fatty Acid, Dicarboxylate, Lipid, eicosenedioate (C20:1-DC)*",0.011150618983631122
135,"Sphingolipid Metabolism, Lipid, glycosyl-N-palmitoyl-sphingosine (d18:1/16:0)",0.010790782037388813
150,"Tryptophan Metabolism, Amino Acid, 6-bromotryptophan",0.010679927092643426
115,"Sphingolipid Metabolism, Lipid, lignoceroyl sphingomyelin (d18:1/24:0)",0.010633097766162614
30,"TCA Cycle, Energy, citrate",0.010503988121811192
87,"Sphingolipid Metabolism, Lipid, sphinganine-1-phosphate",0.010406148202373844
160,"Corticosteroids, Lipid, tetrahydrocortisone glucuronide (5)",0.010340317993963732
79,"Fatty Acid, Monohydroxy, Lipid, 2-hydroxypalmitate",0.01009808485976138
82,"Histidine Metabolism, Amino Acid, 1-ribosyl-imidazoleacetate*",0.010070352714137476
131,"Phospholipid Metabolism, Lipid, 1-stearoyl-2-dihomo-linolenoyl-GPC (18:0/20:3n3 or 6)*",0.009887476450789467
28,"Phenylalanine and Tyrosine Metabolism, Amino Acid, vanillylmandelate (VMA)",0.009883879432366793
66,"Steroid, Lipid, epiandrosterone sulfate",0.009862641452887289
134,"Phospholipid Metabolism, Lipid, 1-linoleoyl-2-docosahexaenoyl-GPC (18:2/22:6)*",0.009859974747487121
97,"Fatty Acid Metabolism(Acyl Glycine), Lipid, N-palmitoylglycine",0.009526192483474971
71,"Pyrimidine Metabolism, Uracil containing, Nucleotide, 5,6-dihydrouridine",0.009352738014904216
50,"Fatty Acid, Dicarboxylate, Lipid, maleate",0.009334569500118128
102,"Sphingolipid Metabolism, Lipid, sphingomyelin (d18:2/16:0, d18:1/16:1)*",0.009331990864918982
146,"Fatty Acid, Dicarboxylate, Lipid, 3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)**",0.009292648669471215
20,"Glycine, Serine and Threonine Metabolism, Amino Acid, threonine",0.009203183953619187
95,"Lysoplasmalogen, Lipid, 1-(1-enyl-palmitoyl)-GPC (P-16:0)*",0.009169148428800233
126,"Plasmalogen, Lipid, 1-(1-enyl-palmitoyl)-2-arachidonoyl-GPC (P-16:0/20:4)*",0.009144351783272775
34,"Polyunsaturated Fatty Acid (n3 and n6), Lipid, dihomo-linoleate (20:2n6)",0.009001557448782616
120,"Sphingolipid Metabolism, Lipid, sphingomyelin (d18:2/23:0, d18:1/23:1, d17:1/24:1)*",0.008937446090803047
149,"Alanine and Aspartate Metabolism, Amino Acid, N,N-dimethylalanine",0.008794763127638938
133,"Phospholipid Metabolism, Lipid, 1-margaroyl-2-docosahexaenoyl-GPC (17:0/22:6)*",0.00860164100795524
111,"Chemical, Xenobiotics, 6-hydroxyindole sulfate",0.008553980363723457
114,"Sphingolipid Metabolism, Lipid, sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",0.00853668649605277
93,"Food Component/Plant, Xenobiotics, ergothioneine",0.008259996308533246
100,"Benzoate Metabolism, Xenobiotics, guaiacol sulfate",0.007995026397260574
72,"Gamma-glutamyl Amino Acid, Peptide, gamma-glutamylisoleucine*",0.007584263698061533
36,"Gamma-glutamyl Amino Acid, Peptide, gamma-glutamylleucine",0.007520659447357025
11,"Methionine, Cysteine, SAM and Taurine Metabolism, Amino Acid, methionine",0.007418862875460341
32,"Phenylalanine and Tyrosine Metabolism, Amino Acid, 4-hydroxyphenylpyruvate",0.007410941742080013
142,"Sphingolipid Metabolism, Lipid, sphingomyelin (d18:2/23:1)*",0.007373460536351684
153,"Pregnenolone Steroids, Lipid, pregnenetriol disulfate*",0.007233190028819059
137,"Diacylglycerol, Lipid, oleoyl-oleoyl-glycerol (18:1/18:1)  [1]*",0.007221586608763264
83,"Lysine Metabolism, Amino Acid, N6-acetyllysine",0.007155820697291926
113,"Sphingolipid Metabolism, Lipid, behenoyl sphingomyelin (d18:1/22:0)*",0.006846716907724315
46,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism, Carbohydrate, 1,5-anhydroglucitol (1,5-AG)",0.00676529776935364
86,"Phospholipid Metabolism, Lipid, 1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)",0.00639487199716271
140,"Phospholipid Metabolism, Lipid, phosphatidylethanolamine (P-18:1/20:4, P-16:0/22:5n3)*",0.006070687549940668
5,"Alanine and Aspartate Metabolism, Amino Acid, aspartate",0.005561157601017719
44,"Aminosugar Metabolism, Carbohydrate, glucuronate",0.005522864893467094
89,"Steroid, Lipid, androstenediol (3beta,17beta) disulfate (2)",0.005077340001122366
51,"Steroid, Lipid, dehydroepiandrosterone sulfate (DHEA-S)",0.005053858061294769
78,"Lysolipid, Lipid, 1-arachidonoyl-GPE (20:4n6)*",0.004831039859978903
138,"Phospholipid Metabolism, Lipid, 1-palmityl-2-palmitoyl-GPC (O-16:0/16:0)*",0.0047012226058443796
112,"Sphingolipid Metabolism, Lipid, sphingomyelin (d18:1/20:2, d18:2/20:1, d16:1/22:2)*",0.004535470513528761
106,"Fatty Acid Metabolism(Acyl Carnitine), Lipid, myristoleoylcarnitine (C14:1)*",0.004386329564747493
55,"Glycine, Serine and Threonine Metabolism, Amino Acid, N-acetylglycine",0.003503334441268491
19,"Glutamate Metabolism, Amino Acid, glutamine",0.0031529300724901788
81,"Lysolipid, Lipid, 1-palmitoyl-GPI (16:0)",0.0031067678425364953
143,"Food Component/Plant, Xenobiotics, carotene diol (1)",0.00306992966511066
94,"Androgenic Steroids, Lipid, androsterone glucuronide",0.002810370204094137
77,"Lysolipid, Lipid, 1-oleoyl-GPE (18:1)",0.00245278009839367
67,"Long Chain Fatty Acid, Lipid, eicosenoate (20:1)",0.00244841536201712
61,"Leucine, Isoleucine and Valine Metabolism, Amino Acid, 3-hydroxy-2-ethylpropionate",0.0022881292377274765
145,"Fatty Acid, Dicarboxylate, Lipid, octadecadienedioate (C18:2-DC)*",0.002202240686490553
84,"Polyunsaturated Fatty Acid (n3 and n6), Lipid, dihomo-linolenate (20:3n3 or n6)",0.0020486422012768735
63,"Medium Chain Fatty Acid, Lipid, 10-undecenoate (11:1n1)",0.0016844675610951931
73,"Phenylalanine and Tyrosine Metabolism, Amino Acid, phenol sulfate",0.001214770767280493
26,"Purine Metabolism, Adenine containing, Nucleotide, adenine",0.0011415456521920442
92,"Steroid, Lipid, pregnenolone sulfate",0.0009443537420321668
56,"Ascorbate and Aldarate Metabolism, Cofactors and Vitamins, threonate",0.0006769073641994527
42,"Benzoate Metabolism, Xenobiotics, hippurate",0.00020356788704356532
121,"Phospholipid Metabolism, Lipid, 1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*",6.1006202210611704e-05
